Tenor,Pref_iss_nme,Price,Delta,TenorDays
1W,EQOPTION_1W_-0.5,103.98,-50,8
1M,EQOPTION_1M_-0.5,63.15,-50,43
2M,EQOPTION_2M_-0.5,56.35,-50,71
3M,EQOPTION_3M_-0.5,52.27,-50,99
6M,EQOPTION_6M_-0.5,47.15,-50,162
9M,EQOPTION_9M_-0.5,41.75,-50,253
11M,EQOPTION_11M_-0.5,38.38,-50,344
1Y,EQOPTION_1Y_-0.5,35.85,-50,435
1.5Y,EQOPTION_1.5Y_-0.5,36.13,-50,526
2Y,EQOPTION_2Y_-0.5,31.21,-50,708
3Y,EQOPTION_3Y_-0.5,27.43,-50,"1,072.00"
4Y,EQOPTION_4Y_-0.5,25.25,-50,"1,443.00"
5Y,EQOPTION_5Y_-0.5,24.42,-50,"1,807.00"
6Y,EQOPTION_6Y_-0.5,23.56,-50,"2,171.00"
7Y,EQOPTION_7Y_-0.5,22.8,-50,"2,535.00"
8Y,EQOPTION_8Y_-0.5,22.11,-50,"2,899.00"
9Y,EQOPTION_9Y_-0.5,20.86,-50,"3,270.00"
1W,EQOPTION_1W_-0.4,88.66,-40,8
1M,EQOPTION_1M_-0.4,53.98,-40,43
2M,EQOPTION_2M_-0.4,48.21,-40,71
3M,EQOPTION_3M_-0.4,44.74,-40,99
6M,EQOPTION_6M_-0.4,40.55,-40,162
9M,EQOPTION_9M_-0.4,36.3,-40,253
11M,EQOPTION_11M_-0.4,33.6,-40,344
1Y,EQOPTION_1Y_-0.4,31.64,-40,435
1.5Y,EQOPTION_1.5Y_-0.4,31.16,-40,526
2Y,EQOPTION_2Y_-0.4,27.52,-40,708
3Y,EQOPTION_3Y_-0.4,24.35,-40,"1,072.00"
4Y,EQOPTION_4Y_-0.4,22.46,-40,"1,443.00"
5Y,EQOPTION_5Y_-0.4,21.7,-40,"1,807.00"
6Y,EQOPTION_6Y_-0.4,21.06,-40,"2,171.00"
7Y,EQOPTION_7Y_-0.4,20.57,-40,"2,535.00"
8Y,EQOPTION_8Y_-0.4,20.13,-40,"2,899.00"
9Y,EQOPTION_9Y_-0.4,19.29,-40,"3,270.00"
1W,EQOPTION_1W_-0.3,73.25,-30,8
1M,EQOPTION_1M_-0.3,44.88,-30,43
2M,EQOPTION_2M_-0.3,40.25,-30,71
3M,EQOPTION_3M_-0.3,37.43,-30,99
6M,EQOPTION_6M_-0.3,34.23,-30,162
9M,EQOPTION_9M_-0.3,31.12,-30,253
11M,EQOPTION_11M_-0.3,29.07,-30,344
1Y,EQOPTION_1Y_-0.3,27.61,-30,435
1.5Y,EQOPTION_1.5Y_-0.3,26.68,-30,526
2Y,EQOPTION_2Y_-0.3,24.22,-30,708
3Y,EQOPTION_3Y_-0.3,21.67,-30,"1,072.00"
4Y,EQOPTION_4Y_-0.3,20.32,-30,"1,443.00"
5Y,EQOPTION_5Y_-0.3,19.73,-30,"1,807.00"
6Y,EQOPTION_6Y_-0.3,19.34,-30,"2,171.00"
7Y,EQOPTION_7Y_-0.3,19.05,-30,"2,535.00"
8Y,EQOPTION_8Y_-0.3,18.81,-30,"2,899.00"
9Y,EQOPTION_9Y_-0.3,18.44,-30,"3,270.00"
1W,EQOPTION_1W_-0.2,56.57,-20,8
1M,EQOPTION_1M_-0.2,35.4,-20,43
2M,EQOPTION_2M_-0.2,32.28,-20,71
3M,EQOPTION_3M_-0.2,30.37,-20,99
6M,EQOPTION_6M_-0.2,28.26,-20,162
9M,EQOPTION_9M_-0.2,26.19,-20,253
11M,EQOPTION_11M_-0.2,24.79,-20,344
1Y,EQOPTION_1Y_-0.2,23.69,-20,435
1.5Y,EQOPTION_1.5Y_-0.2,22.94,-20,526
2Y,EQOPTION_2Y_-0.2,21.36,-20,708
3Y,EQOPTION_3Y_-0.2,19.62,-20,"1,072.00"
4Y,EQOPTION_4Y_-0.2,18.78,-20,"1,443.00"
5Y,EQOPTION_5Y_-0.2,18.44,-20,"1,807.00"
6Y,EQOPTION_6Y_-0.2,18.24,-20,"2,171.00"
7Y,EQOPTION_7Y_-0.2,18.08,-20,"2,535.00"
8Y,EQOPTION_8Y_-0.2,18.02,-20,"2,899.00"
9Y,EQOPTION_9Y_-0.2,17.93,-20,"3,270.00"
1W,EQOPTION_1W_-0.1,36.04,-10,8
1M,EQOPTION_1M_-0.1,25.77,-10,43
2M,EQOPTION_2M_-0.1,24.57,-10,71
3M,EQOPTION_3M_-0.1,23.69,-10,99
6M,EQOPTION_6M_-0.1,22.69,-10,162
9M,EQOPTION_9M_-0.1,21.62,-10,253
11M,EQOPTION_11M_-0.1,20.86,-10,344
1Y,EQOPTION_1Y_-0.1,20.23,-10,435
1.5Y,EQOPTION_1.5Y_-0.1,19.88,-10,526
2Y,EQOPTION_2Y_-0.1,19,-10,708
3Y,EQOPTION_3Y_-0.1,18.02,-10,"1,072.00"
4Y,EQOPTION_4Y_-0.1,17.67,-10,"1,443.00"
5Y,EQOPTION_5Y_-0.1,17.62,-10,"1,807.00"
6Y,EQOPTION_6Y_-0.1,17.58,-10,"2,171.00"
7Y,EQOPTION_7Y_-0.1,17.53,-10,"2,535.00"
8Y,EQOPTION_8Y_-0.1,17.6,-10,"2,899.00"
9Y,EQOPTION_9Y_-0.1,17.61,-10,"3,270.00"
1W,EQOPTION_1W_ATM,17.24,0,8
1M,EQOPTION_1M_ATM,17.17,0,43
2M,EQOPTION_2M_ATM,17.74,0,71
3M,EQOPTION_3M_ATM,17.77,0,99
6M,EQOPTION_6M_ATM,17.87,0,162
9M,EQOPTION_9M_ATM,17.73,0,253
11M,EQOPTION_11M_ATM,17.62,0,344
1Y,EQOPTION_1Y_ATM,17.39,0,435
1.5Y,EQOPTION_1.5Y_ATM,17.39,0,526
2Y,EQOPTION_2Y_ATM,17.16,0,708
3Y,EQOPTION_3Y_ATM,16.95,0,"1,072.00"
4Y,EQOPTION_4Y_ATM,16.99,0,"1,443.00"
5Y,EQOPTION_5Y_ATM,17.2,0,"1,807.00"
6Y,EQOPTION_6Y_ATM,17.24,0,"2,171.00"
7Y,EQOPTION_7Y_ATM,17.19,0,"2,535.00"
8Y,EQOPTION_8Y_ATM,17.22,0,"2,899.00"
9Y,EQOPTION_9Y_ATM,17.19,0,"3,270.00"
1W,EQOPTION_1W_0.1,22.03,10,8
1M,EQOPTION_1M_0.1,14.56,10,43
2M,EQOPTION_2M_0.1,14.6,10,71
3M,EQOPTION_3M_0.1,14.64,10,99
6M,EQOPTION_6M_0.1,14.98,10,162
9M,EQOPTION_9M_0.1,15.26,10,253
11M,EQOPTION_11M_0.1,15.42,10,344
1Y,EQOPTION_1Y_0.1,15.47,10,435
1.5Y,EQOPTION_1.5Y_0.1,15.7,10,526
2Y,EQOPTION_2Y_0.1,15.85,10,708
3Y,EQOPTION_3Y_0.1,16.16,10,"1,072.00"
4Y,EQOPTION_4Y_0.1,16.46,10,"1,443.00"
5Y,EQOPTION_5Y_0.1,16.86,10,"1,807.00"
6Y,EQOPTION_6Y_0.1,16.94,10,"2,171.00"
7Y,EQOPTION_7Y_0.1,16.87,10,"2,535.00"
8Y,EQOPTION_8Y_0.1,16.83,10,"2,899.00"
9Y,EQOPTION_9Y_0.1,16.8,10,"3,270.00"
1W,EQOPTION_1W_0.2,33.12,20,8
1M,EQOPTION_1M_0.2,18.89,20,43
2M,EQOPTION_2M_0.2,16.45,20,71
3M,EQOPTION_3M_0.2,15.59,20,99
6M,EQOPTION_6M_0.2,14.77,20,162
9M,EQOPTION_9M_0.2,14.57,20,253
11M,EQOPTION_11M_0.2,14.52,20,344
1Y,EQOPTION_1Y_0.2,14.44,20,435
1.5Y,EQOPTION_1.5Y_0.2,14.76,20,526
2Y,EQOPTION_2Y_0.2,15.05,20,708
3Y,EQOPTION_3Y_0.2,15.39,20,"1,072.00"
4Y,EQOPTION_4Y_0.2,25,20,"1,443.00"
5Y,EQOPTION_5Y_0.2,16.52,20,"1,807.00"
6Y,EQOPTION_6Y_0.2,16.63,20,"2,171.00"
7Y,EQOPTION_7Y_0.2,16.58,20,"2,535.00"
